engine_hp,engine_cylinders,highway_mpg,city_mpg,popularity,log_price,age,number_of_doors_2,number_of_doors_3,number_of_doors_4,transmission_type_manual,transmission_type_automatic,make_chevrolet,make_ford,make_volkswagen,make_toyota,make_dodge,make_nissan
335.0,6.0,26,19,3916,10.739348835295248,6,1,0,0,1,0,0,0,0,0,0,0
300.0,6.0,28,19,3916,10.612778714919378,6,1,0,0,1,0,0,0,0,0,0,0
300.0,6.0,28,20,3916,10.500976992899632,6,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,18,3916,10.290483144360632,6,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,18,3916,10.448743588106625,6,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,18,3916,10.348205424565993,5,1,0,0,1,0,0,0,0,0,0,0
300.0,6.0,26,17,3916,10.694237736914808,5,1,0,0,1,0,0,0,0,0,0,0
300.0,6.0,28,20,3916,10.579005242826247,5,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,18,3916,10.515993929932415,5,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,27,18,3916,10.524090921620362,4,1,0,0,1,0,0,0,0,0,0,0
300.0,6.0,28,20,3916,10.586609649448985,4,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,19,3916,10.357774570341576,4,1,0,0,1,0,0,0,0,0,0,0
300.0,6.0,28,19,3916,10.70101727068921,4,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,19,3916,10.524090921620362,4,1,0,0,1,0,0,0,0,0,0,0
230.0,6.0,28,19,3916,10.357774570341576,4,1,0,0,1,0,0,0,0,0,0,0
320.0,6.0,25,18,3916,10.784171831940965,4,1,0,0,1,0,0,0,0,0,0,0
320.0,6.0,28,20,3916,10.681687944129537,4,1,0,0,1,0,0,0,0,0,0,0
172.0,6.0,24,17,3105,7.601402334583733,25,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,24,17,3105,7.601402334583733,25,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,20,16,3105,7.601402334583733,25,0,0,1,0,1,0,0,0,0,0,0
172.0,6.0,24,17,3105,7.601402334583733,25,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,21,16,3105,7.601402334583733,25,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,24,17,3105,7.601402334583733,24,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,20,16,3105,7.601402334583733,24,0,0,1,0,1,0,0,0,0,0,0
172.0,6.0,24,17,3105,7.601402334583733,24,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,24,17,3105,7.601402334583733,24,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,21,16,3105,7.601402334583733,24,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,21,16,3105,7.601402334583733,23,0,0,1,0,1,0,0,0,0,0,0
172.0,6.0,22,16,3105,7.601402334583733,23,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,22,17,3105,7.601402334583733,23,0,0,1,1,0,0,0,0,0,0,0
172.0,6.0,22,16,3105,7.601402334583733,23,0,0,1,0,1,0,0,0,0,0,0
172.0,6.0,21,16,3105,7.601402334583733,23,0,0,1,0,1,0,0,0,0,0,0
160.0,4.0,35,26,819,10.22179581852967,0,1,0,0,1,0,0,0,0,0,0,0
160.0,4.0,35,26,819,10.126471091048971,0,1,0,0,1,0,0,0,0,0,0,0
160.0,4.0,35,26,819,10.246935402893767,0,1,0,0,1,0,0,0,0,0,0,0
130.0,4.0,26,18,617,7.601402334583733,26,0,0,1,1,0,0,0,0,0,0,0
158.0,6.0,25,17,617,7.601402334583733,26,0,0,1,1,0,0,0,0,0,0,0
158.0,6.0,25,17,617,7.601402334583733,25,0,0,1,1,0,0,0,0,0,0,0
130.0,4.0,26,18,617,7.601402334583733,25,0,0,1,1,0,0,0,0,0,0,0
130.0,4.0,26,18,617,7.601402334583733,24,0,0,1,1,0,0,0,0,0,0,0
158.0,6.0,25,17,617,7.601402334583733,24,0,0,1,1,0,0,0,0,0,0,0
